"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"37","@HoCoGov constr proj to improve storm drain outfall near Derby Dr, #LaurelMD to begin on/abt 12/4. While proj not e… https://t.co/Nrn95BY5IK",FALSE,0,"HoCoGov",2017-11-28 15:23:14,TRUE,NA,"935529523923357697","161698693","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"38","Now thru 12/11, @HoCoGov Office on Aging &amp; Independence is collecting donated items for low-income #HoCoMD seniors… https://t.co/h5DdAg84Kt",FALSE,4,NA,2017-11-28 14:34:52,TRUE,NA,"935517350408998913",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",9,FALSE,FALSE,NA,NA
"39","@HoCoGov constr proj to improve 425 linear ft of stream channel in the vicinity of NE Brampton Pkway in… https://t.co/vDPk0OLp8k",FALSE,1,"HoCoGov",2017-11-27 20:58:36,TRUE,NA,"935251534585257986","161698693","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"40","UPDATE: The water has been restored to all streets affected by the Oakland Mills water main break. https://t.co/lqR8edWNgY",FALSE,1,NA,2017-11-27 19:23:21,FALSE,NA,"935227563617767426",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"41","#HoCoMD, join #HoCoPolice next Thurs., 12/7, 6:30-8:30 pm at @HowardCC for an event discussing police &amp; civilian re… https://t.co/yHh9sD7WAE",FALSE,0,NA,2017-11-27 19:08:11,TRUE,NA,"935223747736416256",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"42","@HoCoGov Bureau of Utilities reports a broken H2O main at the intersection of Oakland Mills Rd &amp; Kilimanjaro Rd,… https://t.co/Izrj9jt7ss",FALSE,0,"HoCoGov",2017-11-27 17:22:41,TRUE,NA,"935197197599150082","161698693","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",2,FALSE,FALSE,NA,NA
"43","FYI: @HoCoGov DPW to conduct seismic testing along Main St btw Klein Ave &amp; Ellicott Mills Dr in West End area of Hi… https://t.co/rGYn10y6ZV",FALSE,1,NA,2017-11-27 14:43:25,TRUE,NA,"935157116721123334",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"44","Here's what @HoCoGov DPW maintenance projects are going on this week, 11/27 thru 12/1, in #HoCoMD wx permitting: https://t.co/VphcHecu06.",FALSE,0,NA,2017-11-27 13:06:39,FALSE,NA,"935132764562739200",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"45","ICYMI #HoCoMD. @HoCoGov offices &amp; more CLOSED 11/23 and 11/24 for #Thanksgiving holiday. Holiday slide sch will be… https://t.co/8xSyNyGIOK",FALSE,1,NA,2017-11-22 20:00:01,TRUE,NA,"933424850433081344",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"46","Be aware at the pump #HoCoMD. #HoCoPolice discover skimming devices at Exxon gas stations in #ColumbiaMD. More info… https://t.co/9LCRQExBn6",FALSE,1,NA,2017-11-22 18:48:34,TRUE,NA,"933406870156578816",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
