"","originalPlace","interpretedPlace","longitude","latitude","xmin","xmax","ymin","ymax","uncertainty"
"238","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"239","DC/MD","Washington, DC, USA",-77.0368707,38.9071923,-77.119759,-76.909393,38.7916449,38.995548,14708
"240","Washington, DC","Washington, DC, USA",-77.0368707,38.9071923,-77.119759,-76.909393,38.7916449,38.995548,14708
"241","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"242","Mount Airy, MD","Mt Airy, MD 21771, USA",-77.154704,39.3762145,-77.180206,-77.118814,39.358954,39.4025619,2916
"243","Mount Airy, MD","Mt Airy, MD 21771, USA",-77.154704,39.3762145,-77.180206,-77.118814,39.358954,39.4025619,2916
"244","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"245","Highland, MD","Highland, MD, USA",-76.9577073,39.1791249,-76.9808948,-76.9378299,39.1667969,39.1937399,2363
"246","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"247","DC-MD-VA","1319 F St NW #305, Washington, DC 20004, USA",-77.030404,38.8976598,-77.031753,-77.029055,38.8963108,38.8990088,190
"248","DC-MD-VA","1319 F St NW #305, Washington, DC 20004, USA",-77.030404,38.8976598,-77.031753,-77.029055,38.8963108,38.8990088,190
"249","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"250","Washington, DC USA","Washington, DC, USA",-77.0368707,38.9071923,-77.119759,-76.909393,38.7916449,38.995548,14708
"251","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"252","Savage, MD","Savage, MD, USA",-76.8217374,39.1378733,-76.8436689,-76.8046739,39.1342159,39.165379,1939
"253","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"254","Frederick Rd, EllicottCity, MD","Frederick Rd, Ellicott City, MD, USA",-76.8647197,39.2798973,-76.938972,-76.7854052,39.26262,39.3001209,6689
"255","Frederick Rd, EllicottCity, MD","Frederick Rd, Ellicott City, MD, USA",-76.8647197,39.2798973,-76.938972,-76.7854052,39.26262,39.3001209,6689
"256","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"257","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"258","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"259","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"260","DC","Washington, DC, USA",-77.0368707,38.9071923,-77.119759,-76.909393,38.7916449,38.995548,14708
"261","DC","District of Columbia, USA",-77.0334179,38.9059849,-77.119759,-76.909393,38.7916449,38.995548,14644
"262","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"263","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"264","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"265","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"266","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
